Expiration Date,T_days,Nombre_lignes,Nombre_strikes,Strike_min,Strike_max,Nombre_SPX,Nombre_SPXW
2022-09-13,0,162,162,1000,5200,0,162
2022-09-14,1,178,178,1200,5200,0,178
2022-09-15,2,155,155,1000,5200,0,155
2022-09-16,3,810,407,200,7400,407,403
2022-09-19,6,158,158,1000,5400,0,158
2022-09-20,7,150,150,1000,5200,0,150
2022-09-21,8,157,157,1200,5000,0,157
2022-09-22,9,138,138,1000,5200,0,138
2022-09-23,10,240,240,1200,5400,0,240
2022-09-26,13,145,145,1000,5400,0,145
2022-09-27,14,115,115,1200,5200,0,115
2022-09-28,15,133,133,1200,5000,0,133
2022-09-30,17,443,443,800,6700,0,443
2022-10-03,20,122,122,1000,5200,0,122
2022-10-05,22,134,134,1000,5000,0,134
2022-10-07,24,200,200,1200,5400,0,200
2022-10-10,27,102,102,1200,5200,0,102
2022-10-12,29,66,66,1200,5000,0,66
2022-10-14,31,183,183,1200,5200,0,183
2022-10-21,38,730,365,200,7600,365,365
2022-10-28,45,153,153,1000,5000,0,153
2022-10-31,48,317,317,1200,5600,0,317
2022-11-04,52,107,107,1000,5000,0,107
2022-11-18,66,584,296,200,7600,296,288
2022-11-30,78,326,326,1200,5500,0,326
2022-12-16,94,672,356,100,7300,356,316
2022-12-30,108,371,371,800,6800,0,371
2023-01-20,129,454,227,200,7200,227,227
2023-01-31,140,162,162,1200,5400,0,162
2023-02-17,157,240,240,200,8000,240,0
2023-02-28,168,128,128,1000,5200,0,128
2023-03-17,185,142,142,200,8200,142,0
2023-03-31,199,122,122,800,6600,0,122
2023-04-21,220,121,121,200,7400,121,0
2023-05-19,248,144,144,200,7600,144,0
2023-06-16,276,146,146,200,7400,146,0
2023-06-30,290,100,100,800,5500,0,100
2023-07-21,311,106,106,200,6600,106,0
2023-08-18,339,128,128,200,6600,128,0
2023-09-15,367,129,129,200,7200,129,0
2023-12-15,458,163,163,100,7300,163,0
2024-06-21,647,106,106,200,6600,106,0
2024-12-20,829,61,61,200,9200,61,0
2025-12-19,1193,60,60,200,9200,60,0
2026-12-18,1557,62,62,200,10000,62,0
2027-12-17,1921,52,52,400,12000,52,0
