T_days,Root,T,Nombre_options
1,SPXW,0.0027378507871321,23
3,SPX,0.007472051106548,5
3,SPXW,0.0082135523613963,20
7,SPXW,0.0191649555099247,25
15,SPXW,0.0410677618069815,25
31,SPXW,0.0848733744010951,25
66,SPX,0.1799566506958704,14
66,SPXW,0.1806981519507187,11
94,SPX,0.2566164727355692,7
94,SPXW,0.2573579739904175,18
129,SPX,0.3524412502851928,14
129,SPXW,0.3531827515400411,11
185,SPX,0.5057608943645905,25
220,SPX,0.601585671914214,25
248,SPX,0.6782454939539129,25
276,SPX,0.7549053159936117,25
311,SPX,0.8507300935432353,25
367,SPX,1.004049737622633,25
458,SPX,1.2531941592516542,25
647,SPX,1.7706479580196213,25
