Calendar_days,N_effective_maturities,N_local_total,Skew_ATM,Abs_Skew_ATM
1,1,7,2.784770036303836,2.784770036303836
3,2,12,-0.7742990634894072,0.7742990634894072
7,1,7,-0.5816361023428706,0.5816361023428706
15,1,7,-0.7702014300459676,0.7702014300459676
31,1,7,-0.7296990502239288,0.7296990502239288
66,2,14,-0.5145431472298242,0.5145431472298242
94,2,14,-0.4656204193068473,0.4656204193068473
129,2,14,-0.41376427730772375,0.41376427730772375
185,1,7,-0.36734501898885685,0.36734501898885685
220,1,7,-0.32865492940341745,0.32865492940341745
248,1,7,-0.3220700014524507,0.3220700014524507
276,1,7,-0.3054197033841784,0.3054197033841784
311,1,7,-0.2658513881906854,0.2658513881906854
367,1,7,-0.2625703968048626,0.2625703968048626
458,1,7,-0.22858058900821684,0.22858058900821684
647,1,7,-0.14633744586634762,0.14633744586634762
