Calendar_days,N_effective_maturities,N_local_total,Skew_Market,Skew_Rough_Heston,Skew_Heston,Abs_Skew_Market,Abs_Skew_Rough_Heston,Abs_Skew_Heston
1,1,7,2.784770036303836,-2.2487622891945347,-1.2013959288377827,2.784770036303836,2.2487622891945347,1.2013959288377827
3,2,12,-0.7742990634894072,-1.6558478529153178,-1.1968763362326316,0.7742990634894072,1.6558478529153178,1.1968763362326316
7,1,7,-0.5816361023428706,-1.3038832940627465,-1.2174323146599726,0.5816361023428706,1.3038832940627465,1.2174323146599726
15,1,7,-0.7702014300459676,-1.0365676466487848,-1.162136566893762,0.7702014300459676,1.0365676466487848,1.162136566893762
31,1,7,-0.7296990502239288,-0.8105597948610078,-0.9738080954320499,0.7296990502239288,0.8105597948610078,0.9738080954320499
66,2,14,-0.5145431472298242,-0.5461370932371454,-0.5919870330923241,0.5145431472298242,0.5461370932371454,0.5919870330923241
94,2,14,-0.4656204193068473,-0.47976588600751136,-0.5202420841255921,0.4656204193068473,0.47976588600751136,0.5202420841255921
129,2,14,-0.41376427730772375,-0.42617479819128656,-0.44140406704859314,0.41376427730772375,0.42617479819128656,0.44140406704859314
185,1,7,-0.36734501898885685,-0.37998939715171776,-0.37700412743043604,0.36734501898885685,0.37998939715171776,0.37700412743043604
220,1,7,-0.32865492940341745,-0.3501983598562344,-0.3368059339585355,0.32865492940341745,0.3501983598562344,0.3368059339585355
248,1,7,-0.3220700014524507,-0.3216451531025199,-0.30176840410996947,0.3220700014524507,0.3216451531025199,0.30176840410996947
276,1,7,-0.3054197033841784,-0.3103326663826876,-0.2855497088147267,0.3054197033841784,0.3103326663826876,0.2855497088147267
311,1,7,-0.2658513881906854,-0.2930729008329567,-0.26285150472591157,0.2658513881906854,0.2930729008329567,0.26285150472591157
367,1,7,-0.2625703968048626,-0.2644776481709585,-0.22967586125022482,0.2625703968048626,0.2644776481709585,0.22967586125022482
458,1,7,-0.22858058900821684,-0.23133383655347176,-0.19228686217026972,0.22858058900821684,0.23133383655347176,0.19228686217026972
647,1,7,-0.14633744586634762,-0.18993271425839478,-0.14662089839608336,0.14633744586634762,0.18993271425839478,0.14662089839608336
