Fenetre,Modele,N,Jours_min,Jours_max,Jours_utilises,Intercept,C_estime,Beta_estime,R2,H_implicite_beta_plus_1_2,H_global_Rough_Heston,Beta_theorique_H_moins_1_2,Ecart_beta_estime_vs_theorique
3–31 days,Market,4,3,31,"3,7,15,31",-0.30687116486567656,0.7357453846568438,0.010158945480628213,0.005704910368565352,0.5101589454806282,,,
3–31 days,Rough Heston,4,3,31,"3,7,15,31",-0.9502117921446683,0.386659123416911,-0.30497105291931575,0.9982572672536273,0.19502894708068425,0.2360295390214657,-0.26397046097853427,-0.04100059194078148
3–31 days,Classical Heston,4,3,31,"3,7,15,31",-0.17637809458170314,0.8383009663564334,-0.08363693115531669,0.6657385030135259,0.4163630688446833,,,
3–94 days,Market,6,3,94,"3,7,15,31,66,94",-0.8019688850662854,0.44844515737237944,-0.11490626941489078,0.47770672842315054,0.3850937305851092,,,
3–94 days,Rough Heston,6,3,94,"3,7,15,31,66,94",-1.1851854910045554,0.3056894715923034,-0.3641799226214663,0.9859078345510245,0.1358200773785337,0.2360295390214657,-0.26397046097853427,-0.10020946164293204
3–94 days,Classical Heston,6,3,94,"3,7,15,31,66,94",-0.8569208587367817,0.4244670662302913,-0.2553177865110385,0.79675412058791,0.24468221348896152,,,
3–185 days,Market,8,3,185,"3,7,15,31,66,94,129,185",-0.9802037518799143,0.3752346362994148,-0.16427632531024822,0.696533356064905,0.3357236746897518,,,
3–185 days,Rough Heston,8,3,185,"3,7,15,31,66,94,129,185",-1.2130467877744082,0.29729011827008245,-0.371781680104888,0.9914263444031669,0.128218319895112,0.2360295390214657,-0.26397046097853427,-0.10781121912635372
3–185 days,Classical Heston,8,3,185,"3,7,15,31,66,94,129,185",-1.0499690956635048,0.3499485638722169,-0.30871711862290013,0.8753666833044859,0.19128288137709987,,,
3–647 days,Market,15,3,647,"3,7,15,31,66,94,129,185,220,248,276,311,367,458,647",-1.3010113247438393,0.27225631421098895,-0.2703977367818106,0.8081012814535744,0.22960226321818938,,,
3–647 days,Rough Heston,15,3,647,"3,7,15,31,66,94,129,185,220,248,276,311,367,458,647",-1.3019095088957506,0.2720118876907525,-0.40169495521909343,0.9899030736454654,0.09830504478090657,0.2360295390214657,-0.26397046097853427,-0.13772449424055916
3–647 days,Classical Heston,15,3,647,"3,7,15,31,66,94,129,185,220,248,276,311,367,458,647",-1.3690852062875485,0.25433952135850996,-0.41291638456870333,0.9169556060776309,0.08708361543129667,,,
