Calendar_days,N_effective_maturities,N_local_total,IV_ATM_market,IV_ATM_Rough_Heston,IV_ATM_Heston
1,1,7,0.27910773110914605,0.2631795234591074,0.2695583506681094
3,2,12,0.2740754437433055,0.25979534606591964,0.2665971205139225
7,1,7,0.23392849892465675,0.25563577152872513,0.26039026521267283
15,1,7,0.244394243073476,0.2509816856334602,0.25005938006028766
31,1,7,0.2403257496280387,0.24581932955477764,0.23749652385994416
66,2,14,0.23920123881807567,0.24032752433244456,0.22825921034910612
94,2,14,0.23878530796919076,0.23799041979424804,0.22688344957451248
129,2,14,0.23673834416996192,0.2361818008305618,0.2273858657665275
185,1,7,0.23865364638894362,0.234572728062097,0.22961649679641669
220,1,7,0.23878483767997655,0.2339985987705052,0.2311604956585059
248,1,7,0.23905402347492077,0.23368371262751578,0.23235565691814655
276,1,7,0.23856091688960754,0.23345921966604796,0.23349096844022185
311,1,7,0.2379410485610703,0.23326902643387534,0.2348159866190346
367,1,7,0.2377001909000283,0.23309628404597132,0.23672018885388948
458,1,7,0.2364772685136654,0.2329519476990957,0.2393072170271258
647,1,7,0.23186778148982112,0.23221671515006917,0.24317155470135268
